Book Id  ,Title                                                                                    ,Author                      ,Author l-f                     ,Additional Authors                                                       ,ISBN              ,ISBN13               ,My Rating ,Average Rating ,Publisher                            ,Binding               ,Number of Pages ,Year Published ,Original Publication Year ,Date Read ,Date Added ,Bookshelves            ,Bookshelves with positions   ,Exclusive Shelf        ,My Review ,Spoiler ,Private Notes ,Read Count ,Recommended For ,Recommended By ,Owned Copies ,Original Purchase Date ,Original Purchase Location ,Condition ,Condition Description ,BCID
18114322 ,The Grapes of Wrath                                                                      ,John Steinbeck              ,"Steinbeck, John"              ,                                                                         ,"=""067001690X""" ,"=""9780670016907""" ,0         ,3.97           ,Viking                               ,Hardcover             ,479             ,2014           ,1939                      ,          ,2020/12/26 ,to-read-classics       ,to-read-classics (#20)       ,to-read-classics       ,          ,        ,              ,0          ,                ,               ,0            ,                       ,                           ,          ,                      ,
890      ,Of Mice and Men                                                                          ,John Steinbeck              ,"Steinbeck, John"              ,                                                                         ,"=""0142000671""" ,"=""9780142000670""" ,0         ,3.88           ,Penguin Books                        ,Paperback             ,103             ,2002           ,1937                      ,          ,2020/12/26 ,to-read-classics       ,to-read-classics (#22)       ,to-read-classics       ,          ,        ,              ,0          ,                ,               ,0            ,                       ,                           ,          ,                      ,
35031085 ,Frankenstein: The 1818 Text                                                              ,Mary Wollstonecraft Shelley ,"Shelley, Mary Wollstonecraft" ,Charlotte Gordon                                                         ,"=""0143131842""" ,"=""9780143131847""" ,0         ,3.81           ,Penguin Classics                     ,Paperback             ,288             ,2018           ,1818                      ,          ,2020/12/26 ,to-read-classics       ,to-read-classics (#23)       ,to-read-classics       ,          ,        ,              ,0          ,                ,               ,0            ,                       ,                           ,          ,                      ,
17245    ,Dracula                                                                                  ,Bram Stoker                 ,"Stoker, Bram"                 ,"David J. Skal, Nina Auerbach"                                           ,"=""0393970124""" ,"=""9780393970128""" ,0         ,4.00           ,Norton                               ,Paperback             ,488             ,1986           ,1897                      ,          ,2020/12/26 ,to-read-classics       ,to-read-classics (#21)       ,to-read-classics       ,          ,        ,              ,0          ,                ,               ,0            ,                       ,                           ,          ,                      ,
40961427 ,1984                                                                                     ,George Orwell               ,"Orwell, George"               ,                                                                         ,"="""""           ,"="""""              ,0         ,4.19           ,Houghton Mifflin Harcourt            ,Kindle Edition        ,237             ,2013           ,1949                      ,          ,2020/12/26 ,to-read-classics       ,to-read-classics (#24)       ,to-read-classics       ,          ,        ,              ,0          ,                ,               ,0            ,                       ,                           ,          ,                      ,
170448   ,Animal Farm                                                                              ,George Orwell               ,"Orwell, George"               ,"Russell Baker, C.M. Woodhouse"                                          ,"=""0451526341""" ,"=""9780451526342""" ,5         ,3.95           ,Signet Classics                      ,Mass Market Paperback ,141             ,1996           ,1945                      ,          ,2020/12/26 ,to-read-classics       ,to-read-classics (#25)       ,to-read-classics       ,          ,        ,              ,0          ,                ,               ,0            ,                       ,                           ,          ,                      ,
2657     ,To Kill a Mockingbird                                                                    ,Harper Lee                  ,"Lee, Harper"                  ,                                                                         ,"="""""           ,"="""""              ,0         ,4.28           ,Harper Perennial Modern Classics     ,Paperback             ,324             ,2006           ,1960                      ,          ,2020/12/26 ,to-read-classics       ,to-read-classics (#26)       ,to-read-classics       ,          ,        ,              ,0          ,                ,               ,0            ,                       ,                           ,          ,                      ,
13079982 ,Fahrenheit 451                                                                           ,Ray Bradbury                ,"Bradbury, Ray"                ,                                                                         ,"="""""           ,"="""""              ,4         ,3.99           ,Simon & Schuster                     ,Kindle Edition        ,194             ,2011           ,1953                      ,          ,2020/12/26 ,                       ,                             ,read                   ,          ,        ,              ,1          ,                ,               ,0            ,                       ,                           ,          ,                      ,
64218    ,"Eric (Discworld, #9; Rincewind #4)"                                                     ,Terry Pratchett             ,"Pratchett, Terry"             ,                                                                         ,"=""0380821214""" ,"=""9780380821211""" ,5         ,3.75           ,Harper                               ,Mass Market Paperback ,197             ,2008           ,1990                      ,          ,2020/12/28 ,                       ,                             ,read                   ,          ,        ,              ,1          ,                ,               ,0            ,                       ,                           ,          ,                      ,
34532    ,"Hogfather (Discworld, #20; Death, #4)"                                                  ,Terry Pratchett             ,"Pratchett, Terry"             ,                                                                         ,"=""0552154288""" ,"=""9780552154284""" ,5         ,4.21           ,Corgi                                ,Paperback             ,432             ,2006           ,1996                      ,          ,2020/12/28 ,                       ,                             ,read                   ,          ,        ,              ,1          ,                ,               ,0            ,                       ,                           ,          ,                      ,
