 Frequency [Hz] - Resonance Curve	Voltage [V] - Resonance Curve	
3500.00	1.37	
3502.50	1.37	
3505.00	1.36	
3507.50	1.36	
3510.00	1.36	
3512.50	1.36	
3515.00	1.36	
3517.50	1.36	
3520.00	1.36	
3522.50	1.36	
3525.00	1.36	
3527.50	1.36	
3530.00	1.36	
3532.50	1.35	
3535.00	1.35	
3537.50	1.35	
3540.00	1.35	
3542.50	1.35	
3545.00	1.35	
3547.50	1.35	
3550.00	1.35	
3552.50	1.35	
3555.00	1.35	
3557.50	1.34	
3560.00	1.34	
3562.50	1.34	
3565.00	1.34	
3567.50	1.34	
3570.00	1.34	
3572.50	1.34	
3575.00	1.34	
3577.50	1.34	
3580.00	1.34	
3582.50	1.34	
3585.00	1.33	
3587.50	1.33	
3590.00	1.33	
3592.50	1.33	
3595.00	1.33	
3597.50	1.33	
3600.00	1.33	
3602.50	1.33	
3605.00	1.33	
3607.50	1.33	
3610.00	1.32	
3612.50	1.32	
3615.00	1.32	
3617.50	1.32	
3620.00	1.32	
3622.50	1.32	
3625.00	1.32	
3627.50	1.32	
3630.00	1.32	
3632.50	1.32	
3635.00	1.32	
3637.50	1.31	
3640.00	1.31	
3642.50	1.31	
3645.00	1.31	
3647.50	1.31	
3650.00	1.31	
3652.50	1.31	
3655.00	1.31	
3657.50	1.31	
3660.00	1.31	
3662.50	1.31	
3665.00	1.30	
3667.50	1.30	
3670.00	1.30	
3672.50	1.30	
3675.00	1.30	
3677.50	1.30	
3680.00	1.30	
3682.50	1.30	
3685.00	1.30	
3687.50	1.30	
3690.00	1.30	
3692.50	1.29	
3695.00	1.29	
3697.50	1.29	
3700.00	1.29	
3702.50	1.29	
3705.00	1.29	
3707.50	1.29	
3710.00	1.29	
3712.50	1.29	
3715.00	1.29	
3717.50	1.29	
3720.00	1.28	
3722.50	1.28	
3725.00	1.28	
3727.50	1.28	
3730.00	1.28	
3732.50	1.28	
3735.00	1.28	
3737.50	1.28	
3740.00	1.28	
3742.50	1.28	
3745.00	1.28	
3747.50	1.28	
3750.00	1.27	
3752.50	1.27	
3755.00	1.27	
3757.50	1.27	
3760.00	1.27	
3762.50	1.27	
3765.00	1.27	
3767.50	1.27	
3770.00	1.27	
3772.50	1.27	
3775.00	1.27	
3777.50	1.26	
3780.00	1.26	
3782.50	1.26	
3785.00	1.26	
3787.50	1.26	
3790.00	1.26	
3792.50	1.26	
3795.00	1.26	
3797.50	1.26	
3800.00	1.26	
3802.50	1.26	
3805.00	1.26	
3807.50	1.25	
3810.00	1.25	
3812.50	1.25	
3815.00	1.25	
3817.50	1.25	
3820.00	1.25	
3822.50	1.25	
3825.00	1.25	
3827.50	1.25	
3830.00	1.25	
3832.50	1.25	
3835.00	1.25	
3837.50	1.24	
3840.00	1.24	
3842.50	1.24	
3845.00	1.24	
3847.50	1.24	
3850.00	1.24	
3852.50	1.24	
3855.00	1.24	
3857.50	1.24	
3860.00	1.24	
3862.50	1.24	
3865.00	1.24	
3867.50	1.23	
3870.00	1.23	
3872.50	1.23	
3875.00	1.23	
3877.50	1.23	
3880.00	1.23	
3882.50	1.23	
3885.00	1.23	
3887.50	1.23	
3890.00	1.23	
3892.50	1.23	
3895.00	1.23	
3897.50	1.22	
3900.00	1.22	
3902.50	1.22	
3905.00	1.22	
3907.50	1.22	
3910.00	1.22	
3912.50	1.22	
3915.00	1.22	
3917.50	1.22	
3920.00	1.22	
3922.50	1.22	
3925.00	1.22	
3927.50	1.22	
3930.00	1.21	
3932.50	1.21	
3935.00	1.21	
3937.50	1.21	
3940.00	1.21	
3942.50	1.21	
3945.00	1.21	
3947.50	1.21	
3950.00	1.21	
3952.50	1.21	
3955.00	1.21	
3957.50	1.21	
3960.00	1.20	
3962.50	1.20	
3965.00	1.20	
3967.50	1.20	
3970.00	1.20	
3972.50	1.20	
3975.00	1.20	
3977.50	1.20	
3980.00	1.20	
3982.50	1.20	
3985.00	1.20	
3987.50	1.20	
3990.00	1.20	
3992.50	1.19	
3995.00	1.19	
3997.50	1.19	
4000.00	1.19	
4002.50	1.19	
4005.00	1.19	
4007.50	1.19	
4010.00	1.19	
4012.50	1.19	
4015.00	1.19	
4017.50	1.19	
4020.00	1.19	
4022.50	1.19	
4025.00	1.18	
4027.50	1.18	
4030.00	1.18	
4032.50	1.18	
4035.00	1.18	
4037.50	1.18	
4040.00	1.18	
4042.50	1.18	
4045.00	1.18	
4047.50	1.18	
4050.00	1.18	
4052.50	1.18	
4055.00	1.18	
4057.50	1.17	
4060.00	1.17	
4062.50	1.17	
4065.00	1.17	
4067.50	1.17	
4070.00	1.17	
4072.50	1.17	
4075.00	1.17	
4077.50	1.17	
4080.00	1.17	
4082.50	1.17	
4085.00	1.17	
4087.50	1.17	
4090.00	1.16	
4092.50	1.16	
4095.00	1.16	
4097.50	1.16	
4100.00	1.16	
4102.50	1.16	
4105.00	1.16	
4107.50	1.16	
4110.00	1.16	
4112.50	1.16	
4115.00	1.16	
4117.50	1.16	
4120.00	1.16	
4122.50	1.16	
4125.00	1.15	
4127.50	1.15	
4130.00	1.15	
4132.50	1.15	
4135.00	1.15	
4137.50	1.15	
4140.00	1.15	
4142.50	1.15	
4145.00	1.15	
4147.50	1.15	
4150.00	1.15	
4152.50	1.15	
4155.00	1.15	
4157.50	1.15	
4160.00	1.14	
4162.50	1.14	
4165.00	1.14	
4167.50	1.14	
4170.00	1.14	
4172.50	1.14	
4175.00	1.14	
4177.50	1.14	
4180.00	1.14	
4182.50	1.14	
4185.00	1.14	
4187.50	1.14	
4190.00	1.14	
4192.50	1.14	
4195.00	1.13	
4197.50	1.13	
4200.00	1.13	
4202.50	1.13	
4205.00	1.13	
4207.50	1.13	
4210.00	1.13	
4212.50	1.13	
4215.00	1.13	
4217.50	1.13	
4220.00	1.13	
4222.50	1.13	
4225.00	1.13	
4227.50	1.13	
4230.00	1.12	
4232.50	1.12	
4235.00	1.12	
4237.50	1.12	
4240.00	1.12	
4242.50	1.12	
4245.00	1.12	
4247.50	1.12	
4250.00	1.12	
4252.50	1.12	
4255.00	1.12	
4257.50	1.12	
4260.00	1.12	
4262.50	1.12	
4265.00	1.11	
4267.50	1.11	
4270.00	1.11	
4272.50	1.11	
4275.00	1.11	
4277.50	1.11	
4280.00	1.11	
4282.50	1.11	
4285.00	1.11	
4287.50	1.11	
4290.00	1.11	
4292.50	1.11	
4295.00	1.11	
4297.50	1.11	
4300.00	1.11	
4302.50	1.10	
4305.00	1.10	
4307.50	1.10	
4310.00	1.10	
4312.50	1.10	
4315.00	1.10	
4317.50	1.10	
4320.00	1.10	
4322.50	1.10	
4325.00	1.10	
4327.50	1.10	
4330.00	1.10	
4332.50	1.10	
4335.00	1.10	
4337.50	1.10	
4340.00	1.09	
4342.50	1.09	
4345.00	1.09	
4347.50	1.09	
4350.00	1.09	
4352.50	1.09	
4355.00	1.09	
4357.50	1.09	
4360.00	1.09	
4362.50	1.09	
4365.00	1.09	
4367.50	1.09	
4370.00	1.09	
4372.50	1.09	
4375.00	1.09	
4377.50	1.08	
4380.00	1.08	
4382.50	1.08	
4385.00	1.08	
4387.50	1.08	
4390.00	1.08	
4392.50	1.08	
4395.00	1.08	
4397.50	1.08	
4400.00	1.08	
4402.50	1.08	
4405.00	1.08	
4407.50	1.08	
4410.00	1.08	
4412.50	1.08	
4415.00	1.08	
4417.50	1.07	
4420.00	1.07	
4422.50	1.07	
4425.00	1.07	
4427.50	1.07	
